song_id,track_id,genre,file_name,relative_path,archive_path
11,TRBSAAI12903C9EC72,Blues,TRBSAAI12903C9EC72__d302818a4c319a4711ac705a690e9124.mid,data/raw/lakh/selected_midi/Blues/TRBSAAI12903C9EC72__d302818a4c319a4711ac705a690e9124.mid,lmd_matched/B/S/A/TRBSAAI12903C9EC72/d302818a4c319a4711ac705a690e9124.mid
12,TRBXFBB12903CDF91C,Blues,TRBXFBB12903CDF91C__82fa3abdb7e5ad7f179e6e7e55be3e14.mid,data/raw/lakh/selected_midi/Blues/TRBXFBB12903CDF91C__82fa3abdb7e5ad7f179e6e7e55be3e14.mid,lmd_matched/B/X/F/TRBXFBB12903CDF91C/82fa3abdb7e5ad7f179e6e7e55be3e14.mid
13,TRDBTOH128F930DD59,Blues,TRDBTOH128F930DD59__301fa76fdcbb2d71415c3616e42c65e6.mid,data/raw/lakh/selected_midi/Blues/TRDBTOH128F930DD59__301fa76fdcbb2d71415c3616e42c65e6.mid,lmd_matched/D/B/T/TRDBTOH128F930DD59/301fa76fdcbb2d71415c3616e42c65e6.mid
14,TRDCXST128F931599D,Blues,TRDCXST128F931599D__b8ffdb97ba2c3e6c28a561f288c9a637.mid,data/raw/lakh/selected_midi/Blues/TRDCXST128F931599D__b8ffdb97ba2c3e6c28a561f288c9a637.mid,lmd_matched/D/C/X/TRDCXST128F931599D/b8ffdb97ba2c3e6c28a561f288c9a637.mid
15,TRDDRFL128F92F45A5,Blues,TRDDRFL128F92F45A5__5b56d87836e8c45f57bffd811c74de5a.mid,data/raw/lakh/selected_midi/Blues/TRDDRFL128F92F45A5__5b56d87836e8c45f57bffd811c74de5a.mid,lmd_matched/D/D/R/TRDDRFL128F92F45A5/5b56d87836e8c45f57bffd811c74de5a.mid
16,TRDEQJV128EF35A46E,Blues,TRDEQJV128EF35A46E__b7c6b9b66274c6babd4a0af718e5b5bc.mid,data/raw/lakh/selected_midi/Blues/TRDEQJV128EF35A46E__b7c6b9b66274c6babd4a0af718e5b5bc.mid,lmd_matched/D/E/Q/TRDEQJV128EF35A46E/b7c6b9b66274c6babd4a0af718e5b5bc.mid
17,TRDLAJC12903D081BF,Blues,TRDLAJC12903D081BF__0e320f1d4fa1383e6673db1554e7b76e.mid,data/raw/lakh/selected_midi/Blues/TRDLAJC12903D081BF__0e320f1d4fa1383e6673db1554e7b76e.mid,lmd_matched/D/L/A/TRDLAJC12903D081BF/0e320f1d4fa1383e6673db1554e7b76e.mid
18,TRDZNOR128F92D667B,Blues,TRDZNOR128F92D667B__a609cac94830a1e10c799957cd63a8e6.mid,data/raw/lakh/selected_midi/Blues/TRDZNOR128F92D667B__a609cac94830a1e10c799957cd63a8e6.mid,lmd_matched/D/Z/N/TRDZNOR128F92D667B/a609cac94830a1e10c799957cd63a8e6.mid
19,TREGUNS12903CCCF32,Blues,TREGUNS12903CCCF32__c23d2a503ae84293abb10ca67b87796f.mid,data/raw/lakh/selected_midi/Blues/TREGUNS12903CCCF32__c23d2a503ae84293abb10ca67b87796f.mid,lmd_matched/E/G/U/TREGUNS12903CCCF32/c23d2a503ae84293abb10ca67b87796f.mid
20,TREPIMX128F148833C,Blues,TREPIMX128F148833C__8d26e3ab17158746f7b4873215253389.mid,data/raw/lakh/selected_midi/Blues/TREPIMX128F148833C__8d26e3ab17158746f7b4873215253389.mid,lmd_matched/E/P/I/TREPIMX128F148833C/8d26e3ab17158746f7b4873215253389.mid
21,TRFHXBP128F4233D73,Blues,TRFHXBP128F4233D73__28d1ae89a2ca3506e772f31c3be9ce11.mid,data/raw/lakh/selected_midi/Blues/TRFHXBP128F4233D73__28d1ae89a2ca3506e772f31c3be9ce11.mid,lmd_matched/F/H/X/TRFHXBP128F4233D73/28d1ae89a2ca3506e772f31c3be9ce11.mid
22,TRFPBWU128F1480CA0,Blues,TRFPBWU128F1480CA0__2d35b61bd49f76f08bff55a3c679dd28.mid,data/raw/lakh/selected_midi/Blues/TRFPBWU128F1480CA0__2d35b61bd49f76f08bff55a3c679dd28.mid,lmd_matched/F/P/B/TRFPBWU128F1480CA0/2d35b61bd49f76f08bff55a3c679dd28.mid
23,TRFWHMJ128F148E2E3,Blues,TRFWHMJ128F148E2E3__44e0ea19c701ea3c8e9cd69d04434142.mid,data/raw/lakh/selected_midi/Blues/TRFWHMJ128F148E2E3__44e0ea19c701ea3c8e9cd69d04434142.mid,lmd_matched/F/W/H/TRFWHMJ128F148E2E3/44e0ea19c701ea3c8e9cd69d04434142.mid
24,TRGKLSE12903CCC5CD,Blues,TRGKLSE12903CCC5CD__865d1842b5e18a2a39eb3ce1b55a8e95.mid,data/raw/lakh/selected_midi/Blues/TRGKLSE12903CCC5CD__865d1842b5e18a2a39eb3ce1b55a8e95.mid,lmd_matched/G/K/L/TRGKLSE12903CCC5CD/865d1842b5e18a2a39eb3ce1b55a8e95.mid
25,TRGPXMI12903CC9AEB,Blues,TRGPXMI12903CC9AEB__e4af64f44a161de78cd13d2898f2d71e.mid,data/raw/lakh/selected_midi/Blues/TRGPXMI12903CC9AEB__e4af64f44a161de78cd13d2898f2d71e.mid,lmd_matched/G/P/X/TRGPXMI12903CC9AEB/e4af64f44a161de78cd13d2898f2d71e.mid
26,TRGZIER128F92D1676,Blues,TRGZIER128F92D1676__46323f31628c68500c1155449bf551c8.mid,data/raw/lakh/selected_midi/Blues/TRGZIER128F92D1676__46323f31628c68500c1155449bf551c8.mid,lmd_matched/G/Z/I/TRGZIER128F92D1676/46323f31628c68500c1155449bf551c8.mid
27,TRHLMWH128F92EC9D3,Blues,TRHLMWH128F92EC9D3__d3689afdd46cca28dbf53f268ebd9dcd.mid,data/raw/lakh/selected_midi/Blues/TRHLMWH128F92EC9D3__d3689afdd46cca28dbf53f268ebd9dcd.mid,lmd_matched/H/L/M/TRHLMWH128F92EC9D3/d3689afdd46cca28dbf53f268ebd9dcd.mid
28,TRHXCWN128F4286948,Blues,TRHXCWN128F4286948__d10101b9f10df0cec71702ad0aafed94.mid,data/raw/lakh/selected_midi/Blues/TRHXCWN128F4286948__d10101b9f10df0cec71702ad0aafed94.mid,lmd_matched/H/X/C/TRHXCWN128F4286948/d10101b9f10df0cec71702ad0aafed94.mid
29,TRITNOZ128F932B5E5,Blues,TRITNOZ128F932B5E5__ab4987d59ffe94b92cac7ab79a57bb46.mid,data/raw/lakh/selected_midi/Blues/TRITNOZ128F932B5E5__ab4987d59ffe94b92cac7ab79a57bb46.mid,lmd_matched/I/T/N/TRITNOZ128F932B5E5/ab4987d59ffe94b92cac7ab79a57bb46.mid
30,TRIYDLW128F421C505,Blues,TRIYDLW128F421C505__0d69fec14b194607900e456ae37bcb8d.mid,data/raw/lakh/selected_midi/Blues/TRIYDLW128F421C505__0d69fec14b194607900e456ae37bcb8d.mid,lmd_matched/I/Y/D/TRIYDLW128F421C505/0d69fec14b194607900e456ae37bcb8d.mid
31,TRIZKGE128F1457420,Blues,TRIZKGE128F1457420__01bc1977479dc005330f34ccf9e9e1a5.mid,data/raw/lakh/selected_midi/Blues/TRIZKGE128F1457420__01bc1977479dc005330f34ccf9e9e1a5.mid,lmd_matched/I/Z/K/TRIZKGE128F1457420/01bc1977479dc005330f34ccf9e9e1a5.mid
32,TRJIUAM12903D074EE,Blues,TRJIUAM12903D074EE__93963596567e71304be39cf572d98f22.mid,data/raw/lakh/selected_midi/Blues/TRJIUAM12903D074EE__93963596567e71304be39cf572d98f22.mid,lmd_matched/J/I/U/TRJIUAM12903D074EE/93963596567e71304be39cf572d98f22.mid
33,TRJXBTO128F4235B8C,Blues,TRJXBTO128F4235B8C__b0dd7ca0f595513b08618d445a60cad5.mid,data/raw/lakh/selected_midi/Blues/TRJXBTO128F4235B8C__b0dd7ca0f595513b08618d445a60cad5.mid,lmd_matched/J/X/B/TRJXBTO128F4235B8C/b0dd7ca0f595513b08618d445a60cad5.mid
34,TRJYSYF128F145A4F5,Blues,TRJYSYF128F145A4F5__c0bd723a9005ecfa68770715e0fbc613.mid,data/raw/lakh/selected_midi/Blues/TRJYSYF128F145A4F5__c0bd723a9005ecfa68770715e0fbc613.mid,lmd_matched/J/Y/S/TRJYSYF128F145A4F5/c0bd723a9005ecfa68770715e0fbc613.mid
35,TRKMBHB128F14624A9,Blues,TRKMBHB128F14624A9__093f006a98b4aaaa40e92b7a164cee3e.mid,data/raw/lakh/selected_midi/Blues/TRKMBHB128F14624A9__093f006a98b4aaaa40e92b7a164cee3e.mid,lmd_matched/K/M/B/TRKMBHB128F14624A9/093f006a98b4aaaa40e92b7a164cee3e.mid
36,TRLSMMW128F4244482,Blues,TRLSMMW128F4244482__7fc6da9410019baa50ff50f0cbcbad6a.mid,data/raw/lakh/selected_midi/Blues/TRLSMMW128F4244482__7fc6da9410019baa50ff50f0cbcbad6a.mid,lmd_matched/L/S/M/TRLSMMW128F4244482/7fc6da9410019baa50ff50f0cbcbad6a.mid
37,TRMFLQB12903CE56C2,Blues,TRMFLQB12903CE56C2__1e40f66bbc273dc7d1e83b9a76c6b32a.mid,data/raw/lakh/selected_midi/Blues/TRMFLQB12903CE56C2__1e40f66bbc273dc7d1e83b9a76c6b32a.mid,lmd_matched/M/F/L/TRMFLQB12903CE56C2/1e40f66bbc273dc7d1e83b9a76c6b32a.mid
38,TRMIVBP128F4297F50,Blues,TRMIVBP128F4297F50__4ce893e4c7dcfb82eb8d669e26dc8c6d.mid,data/raw/lakh/selected_midi/Blues/TRMIVBP128F4297F50__4ce893e4c7dcfb82eb8d669e26dc8c6d.mid,lmd_matched/M/I/V/TRMIVBP128F4297F50/4ce893e4c7dcfb82eb8d669e26dc8c6d.mid
39,TRMOAWQ128F427E6DF,Blues,TRMOAWQ128F427E6DF__7f590a8263e642b19fa074c0de2ccffa.mid,data/raw/lakh/selected_midi/Blues/TRMOAWQ128F427E6DF__7f590a8263e642b19fa074c0de2ccffa.mid,lmd_matched/M/O/A/TRMOAWQ128F427E6DF/7f590a8263e642b19fa074c0de2ccffa.mid
40,TRMRFOY128F4289767,Blues,TRMRFOY128F4289767__c381aea1f2f03473a01a742ace95dbc0.mid,data/raw/lakh/selected_midi/Blues/TRMRFOY128F4289767__c381aea1f2f03473a01a742ace95dbc0.mid,lmd_matched/M/R/F/TRMRFOY128F4289767/c381aea1f2f03473a01a742ace95dbc0.mid
41,TRMXFMI128F428DA6C,Blues,TRMXFMI128F428DA6C__414920d51060cd1284c2c5ca0871e6c9.mid,data/raw/lakh/selected_midi/Blues/TRMXFMI128F428DA6C__414920d51060cd1284c2c5ca0871e6c9.mid,lmd_matched/M/X/F/TRMXFMI128F428DA6C/414920d51060cd1284c2c5ca0871e6c9.mid
42,TRNINPZ128F9320188,Blues,TRNINPZ128F9320188__e397002e8ae0f86076e32f9d228ff68f.mid,data/raw/lakh/selected_midi/Blues/TRNINPZ128F9320188__e397002e8ae0f86076e32f9d228ff68f.mid,lmd_matched/N/I/N/TRNINPZ128F9320188/e397002e8ae0f86076e32f9d228ff68f.mid
43,TRNXGVM128F42B743D,Blues,TRNXGVM128F42B743D__210f454d93a71ed676a5c06253fc6628.mid,data/raw/lakh/selected_midi/Blues/TRNXGVM128F42B743D__210f454d93a71ed676a5c06253fc6628.mid,lmd_matched/N/X/G/TRNXGVM128F42B743D/210f454d93a71ed676a5c06253fc6628.mid
44,TRNZCKD128EF34942B,Blues,TRNZCKD128EF34942B__e059cc3af89070db6fa05a4f2f18bd09.mid,data/raw/lakh/selected_midi/Blues/TRNZCKD128EF34942B__e059cc3af89070db6fa05a4f2f18bd09.mid,lmd_matched/N/Z/C/TRNZCKD128EF34942B/e059cc3af89070db6fa05a4f2f18bd09.mid
45,TROENHS128F92E2B23,Blues,TROENHS128F92E2B23__ea41257ec1e96b42a17605e0e296962a.mid,data/raw/lakh/selected_midi/Blues/TROENHS128F92E2B23__ea41257ec1e96b42a17605e0e296962a.mid,lmd_matched/O/E/N/TROENHS128F92E2B23/ea41257ec1e96b42a17605e0e296962a.mid
46,TROHDPI12903D0CACB,Blues,TROHDPI12903D0CACB__a47282f7b4ce51cc855f13892faf6c2e.mid,data/raw/lakh/selected_midi/Blues/TROHDPI12903D0CACB__a47282f7b4ce51cc855f13892faf6c2e.mid,lmd_matched/O/H/D/TROHDPI12903D0CACB/a47282f7b4ce51cc855f13892faf6c2e.mid
47,TRONNCI128F93355A3,Blues,TRONNCI128F93355A3__0e320f1d4fa1383e6673db1554e7b76e.mid,data/raw/lakh/selected_midi/Blues/TRONNCI128F93355A3__0e320f1d4fa1383e6673db1554e7b76e.mid,lmd_matched/O/N/N/TRONNCI128F93355A3/0e320f1d4fa1383e6673db1554e7b76e.mid
48,TRPQXTV12903CBB9CC,Blues,TRPQXTV12903CBB9CC__09d740f2087897c1821da64e86e36823.mid,data/raw/lakh/selected_midi/Blues/TRPQXTV12903CBB9CC__09d740f2087897c1821da64e86e36823.mid,lmd_matched/P/Q/X/TRPQXTV12903CBB9CC/09d740f2087897c1821da64e86e36823.mid
49,TRQXRBO128F425A129,Blues,TRQXRBO128F425A129__3aa4fa687026ec987c47dfc44426f76b.mid,data/raw/lakh/selected_midi/Blues/TRQXRBO128F425A129__3aa4fa687026ec987c47dfc44426f76b.mid,lmd_matched/Q/X/R/TRQXRBO128F425A129/3aa4fa687026ec987c47dfc44426f76b.mid
50,TRRQOZG128F92E2634,Blues,TRRQOZG128F92E2634__1e8ed6ab0ffbe1296abf1c80428db151.mid,data/raw/lakh/selected_midi/Blues/TRRQOZG128F92E2634__1e8ed6ab0ffbe1296abf1c80428db151.mid,lmd_matched/R/Q/O/TRRQOZG128F92E2634/1e8ed6ab0ffbe1296abf1c80428db151.mid
51,TRRXPNF128F92FE72F,Blues,TRRXPNF128F92FE72F__386d488ea19bef0dbbbb76ce14b2b725.mid,data/raw/lakh/selected_midi/Blues/TRRXPNF128F92FE72F__386d488ea19bef0dbbbb76ce14b2b725.mid,lmd_matched/R/X/P/TRRXPNF128F92FE72F/386d488ea19bef0dbbbb76ce14b2b725.mid
52,TRSFCVQ128F148C6FB,Blues,TRSFCVQ128F148C6FB__b7e94a44d987ef22398ec6a11086f4fe.mid,data/raw/lakh/selected_midi/Blues/TRSFCVQ128F148C6FB__b7e94a44d987ef22398ec6a11086f4fe.mid,lmd_matched/S/F/C/TRSFCVQ128F148C6FB/b7e94a44d987ef22398ec6a11086f4fe.mid
53,TRSLAOT128F92C2E46,Blues,TRSLAOT128F92C2E46__035d29239b3e857640bd345a55fb410b.mid,data/raw/lakh/selected_midi/Blues/TRSLAOT128F92C2E46__035d29239b3e857640bd345a55fb410b.mid,lmd_matched/S/L/A/TRSLAOT128F92C2E46/035d29239b3e857640bd345a55fb410b.mid
54,TRSMWSC128F9339FC0,Blues,TRSMWSC128F9339FC0__9cd9fb3fbd6f0675ada8d7df37735f3d.mid,data/raw/lakh/selected_midi/Blues/TRSMWSC128F9339FC0__9cd9fb3fbd6f0675ada8d7df37735f3d.mid,lmd_matched/S/M/W/TRSMWSC128F9339FC0/9cd9fb3fbd6f0675ada8d7df37735f3d.mid
55,TRSWXDL128F429D365,Blues,TRSWXDL128F429D365__5a2ede656c047c4d6f76a6c968de5945.mid,data/raw/lakh/selected_midi/Blues/TRSWXDL128F429D365__5a2ede656c047c4d6f76a6c968de5945.mid,lmd_matched/S/W/X/TRSWXDL128F429D365/5a2ede656c047c4d6f76a6c968de5945.mid
56,TRTFXLX128F427FFA4,Blues,TRTFXLX128F427FFA4__e3f23c729c4d61c70609f978768ba817.mid,data/raw/lakh/selected_midi/Blues/TRTFXLX128F427FFA4__e3f23c729c4d61c70609f978768ba817.mid,lmd_matched/T/F/X/TRTFXLX128F427FFA4/e3f23c729c4d61c70609f978768ba817.mid
57,TRTHBPM12903CE116B,Blues,TRTHBPM12903CE116B__4bce6c130fac9b66c963ac1c16b8a6a7.mid,data/raw/lakh/selected_midi/Blues/TRTHBPM12903CE116B__4bce6c130fac9b66c963ac1c16b8a6a7.mid,lmd_matched/T/H/B/TRTHBPM12903CE116B/4bce6c130fac9b66c963ac1c16b8a6a7.mid
58,TRTWYXC128F145C038,Blues,TRTWYXC128F145C038__64ea819820ea867e64654a349a727e54.mid,data/raw/lakh/selected_midi/Blues/TRTWYXC128F145C038__64ea819820ea867e64654a349a727e54.mid,lmd_matched/T/W/Y/TRTWYXC128F145C038/64ea819820ea867e64654a349a727e54.mid
59,TRTXGLV128F92E3EA2,Blues,TRTXGLV128F92E3EA2__8e209d587259bb704e761884725129b7.mid,data/raw/lakh/selected_midi/Blues/TRTXGLV128F92E3EA2__8e209d587259bb704e761884725129b7.mid,lmd_matched/T/X/G/TRTXGLV128F92E3EA2/8e209d587259bb704e761884725129b7.mid
60,TRUKTEP128F92E2B1B,Blues,TRUKTEP128F92E2B1B__e591def4b8861f1fb174d9334ac4e80a.mid,data/raw/lakh/selected_midi/Blues/TRUKTEP128F92E2B1B__e591def4b8861f1fb174d9334ac4e80a.mid,lmd_matched/U/K/T/TRUKTEP128F92E2B1B/e591def4b8861f1fb174d9334ac4e80a.mid
61,TRVIIBN128F148C6F6,Blues,TRVIIBN128F148C6F6__8d03d113b9bccff23383e3d5c9141dd8.mid,data/raw/lakh/selected_midi/Blues/TRVIIBN128F148C6F6__8d03d113b9bccff23383e3d5c9141dd8.mid,lmd_matched/V/I/I/TRVIIBN128F148C6F6/8d03d113b9bccff23383e3d5c9141dd8.mid
62,TRVWUME128F92F23A5,Blues,TRVWUME128F92F23A5__134c1fe50670bddf82a0e4f5315e4f0d.mid,data/raw/lakh/selected_midi/Blues/TRVWUME128F92F23A5__134c1fe50670bddf82a0e4f5315e4f0d.mid,lmd_matched/V/W/U/TRVWUME128F92F23A5/134c1fe50670bddf82a0e4f5315e4f0d.mid
63,TRWBVNF128F92F35E1,Blues,TRWBVNF128F92F35E1__5ea6e1dc5e3fc112ddaf75b1a2efdc57.mid,data/raw/lakh/selected_midi/Blues/TRWBVNF128F92F35E1__5ea6e1dc5e3fc112ddaf75b1a2efdc57.mid,lmd_matched/W/B/V/TRWBVNF128F92F35E1/5ea6e1dc5e3fc112ddaf75b1a2efdc57.mid
64,TRXFQGQ128E0793162,Blues,TRXFQGQ128E0793162__0465bb32b04843e1deaf8ed89e47152b.mid,data/raw/lakh/selected_midi/Blues/TRXFQGQ128E0793162__0465bb32b04843e1deaf8ed89e47152b.mid,lmd_matched/X/F/Q/TRXFQGQ128E0793162/0465bb32b04843e1deaf8ed89e47152b.mid
65,TRXHYCI128F427EDF2,Blues,TRXHYCI128F427EDF2__346ee925046598915328737c2ab79b45.mid,data/raw/lakh/selected_midi/Blues/TRXHYCI128F427EDF2__346ee925046598915328737c2ab79b45.mid,lmd_matched/X/H/Y/TRXHYCI128F427EDF2/346ee925046598915328737c2ab79b45.mid
66,TRXRTFT128F4291339,Blues,TRXRTFT128F4291339__1856b3a104913e5d062729df9d9d15ec.mid,data/raw/lakh/selected_midi/Blues/TRXRTFT128F4291339__1856b3a104913e5d062729df9d9d15ec.mid,lmd_matched/X/R/T/TRXRTFT128F4291339/1856b3a104913e5d062729df9d9d15ec.mid
67,TRXXOCO128F92FC81A,Blues,TRXXOCO128F92FC81A__db8c34814925059bed712cc10c2a41b6.mid,data/raw/lakh/selected_midi/Blues/TRXXOCO128F92FC81A__db8c34814925059bed712cc10c2a41b6.mid,lmd_matched/X/X/O/TRXXOCO128F92FC81A/db8c34814925059bed712cc10c2a41b6.mid
68,TRYJVBN128E0781232,Blues,TRYJVBN128E0781232__b8ae7570980fff660018f5d9deee870c.mid,data/raw/lakh/selected_midi/Blues/TRYJVBN128E0781232__b8ae7570980fff660018f5d9deee870c.mid,lmd_matched/Y/J/V/TRYJVBN128E0781232/b8ae7570980fff660018f5d9deee870c.mid
69,TRYZWCU128E078C211,Blues,TRYZWCU128E078C211__bc8fcaaea0eb031b978b72b9604abafc.mid,data/raw/lakh/selected_midi/Blues/TRYZWCU128E078C211__bc8fcaaea0eb031b978b72b9604abafc.mid,lmd_matched/Y/Z/W/TRYZWCU128E078C211/bc8fcaaea0eb031b978b72b9604abafc.mid
70,TRZDOLP128F92C2E51,Blues,TRZDOLP128F92C2E51__2d3ab74746a70ea3e2b6338af0837af6.mid,data/raw/lakh/selected_midi/Blues/TRZDOLP128F92C2E51__2d3ab74746a70ea3e2b6338af0837af6.mid,lmd_matched/Z/D/O/TRZDOLP128F92C2E51/2d3ab74746a70ea3e2b6338af0837af6.mid
71,TRACXXJ128F426A02A,Country,TRACXXJ128F426A02A__c50379ef6fe904049e069bb1bdf75413.mid,data/raw/lakh/selected_midi/Country/TRACXXJ128F426A02A__c50379ef6fe904049e069bb1bdf75413.mid,lmd_matched/A/C/X/TRACXXJ128F426A02A/c50379ef6fe904049e069bb1bdf75413.mid
72,TRAKXIR128F92CF85A,Country,TRAKXIR128F92CF85A__0066aa3d8728e447317ab80853e923fd.mid,data/raw/lakh/selected_midi/Country/TRAKXIR128F92CF85A__0066aa3d8728e447317ab80853e923fd.mid,lmd_matched/A/K/X/TRAKXIR128F92CF85A/0066aa3d8728e447317ab80853e923fd.mid
73,TRAOQNR12903CBA8E2,Country,TRAOQNR12903CBA8E2__58d37fb33e971caa24c91ff87f11c549.mid,data/raw/lakh/selected_midi/Country/TRAOQNR12903CBA8E2__58d37fb33e971caa24c91ff87f11c549.mid,lmd_matched/A/O/Q/TRAOQNR12903CBA8E2/58d37fb33e971caa24c91ff87f11c549.mid
74,TRASICW128F146E6E1,Country,TRASICW128F146E6E1__b7891e7cf7740b0f36b213d1e482f721.mid,data/raw/lakh/selected_midi/Country/TRASICW128F146E6E1__b7891e7cf7740b0f36b213d1e482f721.mid,lmd_matched/A/S/I/TRASICW128F146E6E1/b7891e7cf7740b0f36b213d1e482f721.mid
75,TRAXMTE12903CC3521,Country,TRAXMTE12903CC3521__a197d183864d6da1a612f608755f3377.mid,data/raw/lakh/selected_midi/Country/TRAXMTE12903CC3521__a197d183864d6da1a612f608755f3377.mid,lmd_matched/A/X/M/TRAXMTE12903CC3521/a197d183864d6da1a612f608755f3377.mid
76,TRBEKYS128F4242DD3,Country,TRBEKYS128F4242DD3__59f8490679b5b5ac896a398b0c4e4f7f.mid,data/raw/lakh/selected_midi/Country/TRBEKYS128F4242DD3__59f8490679b5b5ac896a398b0c4e4f7f.mid,lmd_matched/B/E/K/TRBEKYS128F4242DD3/59f8490679b5b5ac896a398b0c4e4f7f.mid
77,TRBLSWQ128F9340F98,Country,TRBLSWQ128F9340F98__77dcaa2921cbca71e811b9b5d1191593.mid,data/raw/lakh/selected_midi/Country/TRBLSWQ128F9340F98__77dcaa2921cbca71e811b9b5d1191593.mid,lmd_matched/B/L/S/TRBLSWQ128F9340F98/77dcaa2921cbca71e811b9b5d1191593.mid
78,TRBOSUD128F92E834A,Country,TRBOSUD128F92E834A__5de5b7b962182af397d4390c6231b81b.mid,data/raw/lakh/selected_midi/Country/TRBOSUD128F92E834A__5de5b7b962182af397d4390c6231b81b.mid,lmd_matched/B/O/S/TRBOSUD128F92E834A/5de5b7b962182af397d4390c6231b81b.mid
79,TRBUUHS128E0799696,Country,TRBUUHS128E0799696__3688dbb788aa451d15afca8361083715.mid,data/raw/lakh/selected_midi/Country/TRBUUHS128E0799696__3688dbb788aa451d15afca8361083715.mid,lmd_matched/B/U/U/TRBUUHS128E0799696/3688dbb788aa451d15afca8361083715.mid
80,TRBWMGD128F4285D61,Country,TRBWMGD128F4285D61__b839ea01e664fe21e2282f0c7027f8b1.mid,data/raw/lakh/selected_midi/Country/TRBWMGD128F4285D61__b839ea01e664fe21e2282f0c7027f8b1.mid,lmd_matched/B/W/M/TRBWMGD128F4285D61/b839ea01e664fe21e2282f0c7027f8b1.mid
81,TRCGQTW128F931E088,Country,TRCGQTW128F931E088__24c2110ea7a0a20db92209be21bdd878.mid,data/raw/lakh/selected_midi/Country/TRCGQTW128F931E088__24c2110ea7a0a20db92209be21bdd878.mid,lmd_matched/C/G/Q/TRCGQTW128F931E088/24c2110ea7a0a20db92209be21bdd878.mid
82,TRCNHPW128F42624C2,Country,TRCNHPW128F42624C2__f49ee4dd738507301846ed966d9b1c2d.mid,data/raw/lakh/selected_midi/Country/TRCNHPW128F42624C2__f49ee4dd738507301846ed966d9b1c2d.mid,lmd_matched/C/N/H/TRCNHPW128F42624C2/f49ee4dd738507301846ed966d9b1c2d.mid
